name,genres,year,country,producer,imdb_rating,link
Отец и сын,драма,1936,СССР,Маргарита Барская,,"https://ru.wikipedia.org/wiki/%D0%9E%D1%82%D0%B5%D1%86_%D0%B8_%D1%81%D1%8B%D0%BD_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1936)"
Юность командиров,"военный фильм,, ,приключения",1939,СССР,Владимир Вайншток,,https://ru.wikipedia.org/wiki/%D0%AE%D0%BD%D0%BE%D1%81%D1%82%D1%8C_%D0%BA%D0%BE%D0%BC%D0%B0%D0%BD%D0%B4%D0%B8%D1%80%D0%BE%D0%B2
Стенька Разин,драма,1914,,Григорий Либкен,,"https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D0%B5%D0%BD%D1%8C%D0%BA%D0%B0_%D0%A0%D0%B0%D0%B7%D0%B8%D0%BD_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1914)"
Сказка о спящей царевне и семи богатырях,Сказка,1914,Российская империя,Пётр Чардынин,,https://ru.wikipedia.org/wiki/%D0%A1%D0%BA%D0%B0%D0%B7%D0%BA%D0%B0_%D0%BE_%D1%81%D0%BF%D1%8F%D1%89%D0%B5%D0%B9_%D1%86%D0%B0%D1%80%D0%B5%D0%B2%D0%BD%D0%B5_%D0%B8_%D1%81%D0%B5%D0%BC%D0%B8_%D0%B1%D0%BE%D0%B3%D0%B0%D1%82%D1%8B%D1%80%D1%8F%D1%85
Однажды летом,комедия,1936,,Ханан Шмаин,6.7,https://ru.wikipedia.org/wiki/%D0%9E%D0%B4%D0%BD%D0%B0%D0%B6%D0%B4%D1%8B_%D0%BB%D0%B5%D1%82%D0%BE%D0%BC
Эту статью предлагается ,,2018,,,,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%B9%D0%BD%D0%B0%D1%8F_%D0%B6%D0%B8%D0%B7%D0%BD%D1%8C_%D0%BF%D0%B8%D0%BD%D0%B3%D0%B2%D0%B8%D0%BD%D0%BE%D0%B2
Флэш Гордон,"научно-фантастический фильм,[2],боевик,[2],приключенческий фильм,[2]",1936,США,Фредерик Стефани,7.0,https://ru.wikipedia.org/wiki/%D0%A4%D0%BB%D1%8D%D1%88_%D0%93%D0%BE%D1%80%D0%B4%D0%BE%D0%BD_(%D0%BA%D0%B8%D0%BD%D0%BE%D1%81%D0%B5%D1%80%D0%B8%D0%B0%D0%BB)
Пан Твардовский,"исторический, ,фильм ужасов",1936,Польша,Генрик Шаро,6.1,https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D0%BD_%D0%A2%D0%B2%D0%B0%D1%80%D0%B4%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Федька,военный фильм,1936,СССР,Николай Лебедев,4.6,https://ru.wikipedia.org/wiki/%D0%A4%D0%B5%D0%B4%D1%8C%D0%BA%D0%B0
Окаменелый лес,"криминальная ,драма",1936,США,Арчи Майо,7.5,https://ru.wikipedia.org/wiki/%D0%9E%D0%BA%D0%B0%D0%BC%D0%B5%D0%BD%D0%B5%D0%BB%D1%8B%D0%B9_%D0%BB%D0%B5%D1%81_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Очарован тобой,музыкальная романтическая комедия,1936,США,Отто Премингер,6.0,"https://ru.wikipedia.org/wiki/%D0%9E%D1%87%D0%B0%D1%80%D0%BE%D0%B2%D0%B0%D0%BD_%D1%82%D0%BE%D0%B1%D0%BE%D0%B9_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1936)"
Дама с камелиями,"драма, / ,мелодрама",1936,,Джордж Кьюкор,7.3,"https://ru.wikipedia.org/wiki/%D0%94%D0%B0%D0%BC%D0%B0_%D1%81_%D0%BA%D0%B0%D0%BC%D0%B5%D0%BB%D0%B8%D1%8F%D0%BC%D0%B8_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1936)"
«Эскадрилья № 5»,оборонный фильм,1939,СССР,Абрам Роом,4.7,https://ru.wikipedia.org/wiki/%D0%AD%D1%81%D0%BA%D0%B0%D0%B4%D1%80%D0%B8%D0%BB%D1%8C%D1%8F_%E2%84%96_5
Этот замечательный мир,"криминальный фильм,комедия,мелодрама",1939,США,В. С. ван Дайк,6.8,https://ru.wikipedia.org/wiki/%D0%AD%D1%82%D0%BE%D1%82_%D0%B7%D0%B0%D0%BC%D0%B5%D1%87%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9_%D0%BC%D0%B8%D1%80
Я из Миссури,кинокомедия,1939,США,Теодор Рид,6.4,https://ru.wikipedia.org/wiki/%D0%AF_%D0%B8%D0%B7_%D0%9C%D0%B8%D1%81%D1%81%D1%83%D1%80%D0%B8
Чужой берег,,1930,СССР,Марк Донской,,https://ru.wikipedia.org/wiki/%D0%A7%D1%83%D0%B6%D0%BE%D0%B9_%D0%B1%D0%B5%D1%80%D0%B5%D0%B3
Женщины,"драма,комедия",1939,США,Джордж Кьюкор,7.7,"https://ru.wikipedia.org/wiki/%D0%96%D0%B5%D0%BD%D1%89%D0%B8%D0%BD%D1%8B_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1939)"
Юнион Пасифик,"драма,вестерн",1939,США,Сесил де Милль,7.1,https://ru.wikipedia.org/wiki/%D0%AE%D0%BD%D0%B8%D0%BE%D0%BD_%D0%9F%D0%B0%D1%81%D0%B8%D1%84%D0%B8%D0%BA_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Энтузиазм (Симфония Донбасса),документальный фильм,1930,СССР,Дзига Вертов,6.8,https://ru.wikipedia.org/wiki/%D0%AD%D0%BD%D1%82%D1%83%D0%B7%D0%B8%D0%B0%D0%B7%D0%BC:_%D0%A1%D0%B8%D0%BC%D1%84%D0%BE%D0%BD%D0%B8%D1%8F_%D0%94%D0%BE%D0%BD%D0%B1%D0%B0%D1%81%D1%81%D0%B0
Янко-музыкант,драма,1930,Польша,Рышард Ордынский,7.2,https://ru.wikipedia.org/wiki/%D0%AF%D0%BD%D0%BA%D0%BE-%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B0%D0%BD%D1%82_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Этой ночи жена,драма,1930,Япония,Ясудзиро Одзу,6.9,https://ru.wikipedia.org/wiki/%D0%AD%D1%82%D0%BE%D0%B9_%D0%BD%D0%BE%D1%87%D0%B8_%D0%B6%D0%B5%D0%BD%D0%B0
Щорс,"военно,-,исторический",1939,СССР,Александр Довженко,6.1,https://ru.wikipedia.org/wiki/%D0%A9%D0%BE%D1%80%D1%81_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Человек из местечка,Драма,1930,СССР,Григорий Рошаль,,https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA_%D0%B8%D0%B7_%D0%BC%D0%B5%D1%81%D1%82%D0%B5%D1%87%D0%BA%D0%B0
Подручный,"немое кино,комедийный фильм",1923,США,Роберт П. Керр,4.6,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B4%D1%80%D1%83%D1%87%D0%BD%D1%8B%D0%B9
Экспресс изгнания,"драматический фильм,[1]",1939,,Оттис Гаррет,5.1,https://ru.wikipedia.org/wiki/%D0%AD%D0%BA%D1%81%D0%BF%D1%80%D0%B5%D1%81%D1%81_%D0%B8%D0%B7%D0%B3%D0%BD%D0%B0%D0%BD%D0%B8%D1%8F
Хлеб,драма,1930,СССР,Николай Шпиковский,6.7,https://ru.wikipedia.org/wiki/%D0%A5%D0%BB%D0%B5%D0%B1_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Эта статья предлагается для ,,2019,,,,https://ru.wikipedia.org/wiki/%D0%A2%D0%BE%D0%BA%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9_%D0%B3%D1%83%D0%BB%D1%8C_2
Парижанка,драма,1923,США,Чарльз Чаплин,6.9,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D1%80%D0%B8%D0%B6%D0%B0%D0%BD%D0%BA%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1923)"
Пилигрим,"трагикомедия,вестерн",1923,США,Чарли Чаплин,7.2,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B8%D0%BB%D0%B8%D0%B3%D1%80%D0%B8%D0%BC_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1923)"
Пламя,мелодрама,1923,,Эрнст Любич,6.2,"https://ru.wikipedia.org/wiki/%D0%9F%D0%BB%D0%B0%D0%BC%D1%8F_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1923)"
Призрак бродит по Европе,Фантастика,1923,,Владимир Гардин,6.2,https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D0%B7%D1%80%D0%B0%D0%BA_%D0%B1%D1%80%D0%BE%D0%B4%D0%B8%D1%82_%D0%BF%D0%BE_%D0%95%D0%B2%D1%80%D0%BE%D0%BF%D0%B5
Тройка,"драма, мелодрама",1930,,Владимир Стрижевский,,"https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D0%BE%D0%B9%D0%BA%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1930)"
Прекрасная нивернезка,"драма,авангард",1923,Франция,Жан Эпштейн,6.9,https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B5%D0%BA%D1%80%D0%B0%D1%81%D0%BD%D0%B0%D1%8F_%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D0%BD%D0%B5%D0%B7%D0%BA%D0%B0
Убийство,"детектив,, ,триллер",1930,Великобритания,Альфред Хичкок,6.3,https://ru.wikipedia.org/wiki/%D0%A3%D0%B1%D0%B8%D0%B9%D1%81%D1%82%D0%B2%D0%BE!
"Совесть-мститель, или «Не убий»",драма,1914,США,Дэвид Уорк Гриффит,6.4,"https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C-%D0%BC%D1%81%D1%82%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,_%D0%B8%D0%BB%D0%B8_%C2%AB%D0%9D%D0%B5_%D1%83%D0%B1%D0%B8%D0%B9%C2%BB"
"Слава — нам, смерть — врагам",драма,1914,Российская империя,Евгений Бауэр,5.5,"https://ru.wikipedia.org/wiki/%D0%A1%D0%BB%D0%B0%D0%B2%D0%B0_%E2%80%94_%D0%BD%D0%B0%D0%BC,_%D1%81%D0%BC%D0%B5%D1%80%D1%82%D1%8C_%E2%80%94_%D0%B2%D1%80%D0%B0%D0%B3%D0%B0%D0%BC_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)"
Париж уснул,фантастика,1923,Франция,Рене Клер,7.1,https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D1%80%D0%B8%D0%B6_%D1%83%D1%81%D0%BD%D1%83%D0%BB
Очаг,Драма,1923,Франция,Робер Будриоз,,"https://ru.wikipedia.org/wiki/%D0%9E%D1%87%D0%B0%D0%B3_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1919)"
Состоявшееся знакомство,"комедия,короткометражный,немой",1914,,Чарльз Чаплин,5.5,https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D1%81%D1%82%D0%BE%D1%8F%D0%B2%D1%88%D0%B5%D0%B5%D1%81%D1%8F_%D0%B7%D0%BD%D0%B0%D0%BA%D0%BE%D0%BC%D1%81%D1%82%D0%B2%D0%BE
Слёзы,мелодрама,1914,Российская империя,Евгений Бауэр,,"https://ru.wikipedia.org/wiki/%D0%A1%D0%BB%D1%91%D0%B7%D1%8B_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1914)"
Рейс Париж – Монте-Карло,"кинофантастика,приключенческий фильм,немое кино",1905,Франция,Жорж Мельес,6.3,https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B9%D1%81_%D0%9F%D0%B0%D1%80%D0%B8%D0%B6_%E2%80%94_%D0%9C%D0%BE%D0%BD%D1%82%D0%B5-%D0%9A%D0%B0%D1%80%D0%BB%D0%BE
Семейная жизнь Мейбл,комедия,1914,США,Чарльз Чаплин,5.6,https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BC%D0%B5%D0%B9%D0%BD%D0%B0%D1%8F_%D0%B6%D0%B8%D0%B7%D0%BD%D1%8C_%D0%9C%D0%B5%D0%B9%D0%B1%D0%BB
Эсмеральда,драма,1905,Франция,Алис Ги-Блаше,6.4,"https://ru.wikipedia.org/wiki/%D0%AD%D1%81%D0%BC%D0%B5%D1%80%D0%B0%D0%BB%D1%8C%D0%B4%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1905)"
Ужасный ребенок,комедия,1905,Великобритания,Альф Коллинз,,https://ru.wikipedia.org/wiki/%D0%A3%D0%B6%D0%B0%D1%81%D0%BD%D1%8B%D0%B9_%D1%80%D0%B5%D0%B1%D1%91%D0%BD%D0%BE%D0%BA
Спасена Ровером,немое кино,1905,Великобритания,Сесиль Хепуорт,6.6,https://ru.wikipedia.org/wiki/%D0%A1%D0%BF%D0%B0%D1%81%D0%B5%D0%BD%D0%B0_%D0%A0%D0%BE%D0%B2%D0%B5%D1%80%D0%BE%D0%BC
Чёрный дьявол,"комедия, / ,фэнтези",1905,Франция,Жорж Мельес,7.0,"https://ru.wikipedia.org/wiki/%D0%A7%D1%91%D1%80%D0%BD%D1%8B%D0%B9_%D0%B4%D1%8C%D1%8F%D0%B2%D0%BE%D0%BB_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1905)"
Сделка,"немое кино,вестерн,[d]",1914,США,Реджинальд Баркер,6.5,"https://ru.wikipedia.org/wiki/%D0%A1%D0%B4%D0%B5%D0%BB%D0%BA%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1914)"
Тысяча и одна ночь,сказка,1905,Франция,Жорж Мельес,6.0,"https://ru.wikipedia.org/wiki/%D0%A2%D1%8B%D1%81%D1%8F%D1%87%D0%B0_%D0%B8_%D0%BE%D0%B4%D0%BD%D0%B0_%D0%BD%D0%BE%D1%87%D1%8C_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1905)"
Приключения Шерлока Холмса,"детектив,, ,драма",1905,США,Джеймс Стюарт Блэктон,4.6,"https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D1%8F_%D0%A8%D0%B5%D1%80%D0%BB%D0%BE%D0%BA%D0%B0_%D0%A5%D0%BE%D0%BB%D0%BC%D1%81%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1905)"
Гарфилд в кино,,2024,США,Марк Диндал,,https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D1%80%D1%84%D0%B8%D0%BB%D0%B4_%D0%B2_%D0%BA%D0%B8%D0%BD%D0%BE
Peeping Tom,"драматический фильм,комедия",1897,США,,5.8,https://ru.wikipedia.org/wiki/Peeping_Tom
Похититель велосипедов,комедия,1905,Франция,Андре Эзе,,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D1%85%D0%B8%D1%82%D0%B8%D1%82%D0%B5%D0%BB%D1%8C_%D0%B2%D0%B5%D0%BB%D0%BE%D1%81%D0%B8%D0%BF%D0%B5%D0%B4%D0%BE%D0%B2
Выгон,драма,2024,Германия,Нора Финшелдт,8.7,https://ru.wikipedia.org/wiki/%D0%92%D1%8B%D0%B3%D0%BE%D0%BD_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Ворон,"Супергероика,, ,неонуар,, ,триллер,, ,городское фэнтези",2024,США,Руперт Сандерс,,"https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D1%80%D0%BE%D0%BD_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2024)"
Гарольд и фиолетовый мелок,"фэнтези,, ,семейный",2024,США,Карлус Салданья,,https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D1%80%D0%BE%D0%BB%D1%8C%D0%B4_%D0%B8_%D1%84%D0%B8%D0%BE%D0%BB%D0%B5%D1%82%D0%BE%D0%B2%D1%8B%D0%B9_%D0%BC%D0%B5%D0%BB%D0%BE%D0%BA_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Главы государств,комедийный боевик,2024,США,Илья Викторович Найшуллер,,https://ru.wikipedia.org/wiki/%D0%93%D0%BB%D0%B0%D0%B2%D1%8B_%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Магазинные воришки,драма,2018,Япония,Хирокадзу Корээда,7.9,https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD%D0%BD%D1%8B%D0%B5_%D0%B2%D0%BE%D1%80%D0%B8%D1%88%D0%BA%D0%B8
Бэтмен-ниндзя,"фантастика,, ,супергеройский фильм,, ,боевик",2018,США,Дзюмпэй Мидзусаки,5.6,https://ru.wikipedia.org/wiki/%D0%91%D1%8D%D1%82%D0%BC%D0%B5%D0%BD-%D0%BD%D0%B8%D0%BD%D0%B4%D0%B7%D1%8F
Клоун и его собачки,мультфильм,1892,Франция,Эмиль Рено,5.7,https://ru.wikipedia.org/wiki/%D0%9A%D0%BB%D0%BE%D1%83%D0%BD_%D0%B8_%D0%B5%D0%B3%D0%BE_%D1%81%D0%BE%D0%B1%D0%B0%D1%87%D0%BA%D0%B8
Кружка пива,мультфильм,1892,Франция,Эмиль Рейно,5.4,https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D1%83%D0%B6%D0%BA%D0%B0_%D0%BF%D0%B8%D0%B2%D0%B0
Асако 1 и 2,"драматический фильм,романтический фильм",2018,Япония,Рюсукэ Хамагути,7.0,https://ru.wikipedia.org/wiki/%D0%90%D1%81%D0%B0%D0%BA%D0%BE_1_%D0%B8_2
Сцена с кузнецами,"документальная фантастика,[d],документальный фильм,немое кино",1893,США,Уильям Диксон,6.2,https://ru.wikipedia.org/wiki/%D0%A1%D1%86%D0%B5%D0%BD%D0%B0_%D1%81_%D0%BA%D1%83%D0%B7%D0%BD%D0%B5%D1%86%D0%B0%D0%BC%D0%B8
Бедный Пьеро,мультфильм,1892,Франция,Эмиль Рейно,6.5,https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%B4%D0%BD%D1%8B%D0%B9_%D0%9F%D1%8C%D0%B5%D1%80%D0%BE
Падающая кошка,документальный,1894,Франция,Этьен-Жюль Маре,5.7,https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D0%B4%D0%B0%D1%8E%D1%89%D0%B0%D1%8F_%D0%BA%D0%BE%D1%88%D0%BA%D0%B0
Приветствие Диксона,Документальное кино,1891,,Уильям Диксон,5.3,https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B5_%D0%94%D0%B8%D0%BA%D1%81%D0%BE%D0%BD%D0%B0
Ньюаркский атлет,Документальное кино,1891,США,Уильям Диксон,4.9,https://ru.wikipedia.org/wiki/%D0%9D%D1%8C%D1%8E%D0%B0%D1%80%D0%BA%D1%81%D0%BA%D0%B8%D0%B9_%D0%B0%D1%82%D0%BB%D0%B5%D1%82
Энни Оукли,вестерн,1894,США,Уильям Диксон,6.3,"https://ru.wikipedia.org/wiki/%D0%AD%D0%BD%D0%BD%D0%B8_%D0%9E%D1%83%D0%BA%D0%BB%D0%B8_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1894)"
Боксирующие коты (проф. Уэлтона),документальное кино,1894,США,Уильям Диксон,5.8,https://ru.wikipedia.org/wiki/The_Boxing_Cats_(Prof._Welton%E2%80%99s)
Танец бабочки,документальный фильм,1894,США,Уильям Диксон,5.9,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BD%D0%B5%D1%86_%D0%B1%D0%B0%D0%B1%D0%BE%D1%87%D0%BA%D0%B8
Боксирующие мужчины,"немое кино,фильм о боксе,[d]",1891,США,Уильям Диксон,4.7,https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%BA%D1%81%D0%B8%D1%80%D1%83%D1%8E%D1%89%D0%B8%D0%B5_%D0%BC%D1%83%D0%B6%D1%87%D0%B8%D0%BD%D1%8B
Танец Буффало,документальный фильм,1894,,Уильям Диксон,5.4,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BD%D0%B5%D1%86_%D0%91%D1%83%D1%84%D1%84%D0%B0%D0%BB%D0%BE
Фред Отт. Чихание,документальный фильм,1894,США,Уильям Диксон,5.4,https://ru.wikipedia.org/wiki/%D0%A4%D1%80%D0%B5%D0%B4_%D0%9E%D1%82%D1%82._%D0%A7%D0%B8%D1%85%D0%B0%D0%BD%D0%B8%D0%B5
Необъезженный жеребец,Документальное кино,1894,США,Уильям Диксон,5.1,https://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D0%BE%D0%B1%D1%8A%D0%B5%D0%B7%D0%B6%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9_%D0%B6%D0%B5%D1%80%D0%B5%D0%B1%D0%B5%D1%86
Новая повесть о доме Тайра: Сидзука и Ёсицунэ,"дзидайгэки, (или ,историческая, ,драма,)",1956,Япония,Кодзи Сима,,https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D0%B0%D1%8F_%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C_%D0%BE_%D0%B4%D0%BE%D0%BC%D0%B5_%D0%A2%D0%B0%D0%B9%D1%80%D0%B0:_%D0%A1%D0%B8%D0%B4%D0%B7%D1%83%D0%BA%D0%B0_%D0%B8_%D0%81%D1%81%D0%B8%D1%86%D1%83%D0%BD%D1%8D
Китайский опиумный притон,Немое кино,1894,США,Уильям Диксон,5.0,https://ru.wikipedia.org/wiki/%D0%9A%D0%B8%D1%82%D0%B0%D0%B9%D1%81%D0%BA%D0%B8%D0%B9_%D0%BE%D0%BF%D0%B8%D1%83%D0%BC%D0%BD%D1%8B%D0%B9_%D0%BF%D1%80%D0%B8%D1%82%D0%BE%D0%BD
Мужская парикмахерская,документальный фильм,1894,США,Уильям К.Л. Диксон,5.3,https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B0%D1%8F_%D0%BF%D0%B0%D1%80%D0%B8%D0%BA%D0%BC%D0%B0%D1%85%D0%B5%D1%80%D1%81%D0%BA%D0%B0%D1%8F
Корбетт и Кортни перед Кинетографом,спортивный фильм,1894,США,неизвестен,5.4,https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%B1%D0%B5%D1%82%D1%82_%D0%B8_%D0%9A%D0%BE%D1%80%D1%82%D0%BD%D0%B8_%D0%BF%D0%B5%D1%80%D0%B5%D0%B4_%D0%9A%D0%B8%D0%BD%D0%B5%D1%82%D0%BE%D0%B3%D1%80%D0%B0%D1%84%D0%BE%D0%BC
Лето солнечного затмения,фильм-драма,1956,Япония,Хиромити Хорикава,,https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D1%82%D0%BE_%D1%81%D0%BE%D0%BB%D0%BD%D0%B5%D1%87%D0%BD%D0%BE%D0%B3%D0%BE_%D0%B7%D0%B0%D1%82%D0%BC%D0%B5%D0%BD%D0%B8%D1%8F
Saga of Tanya the Evil: The Movie,,2019,,Ютака Уэмура,7.5,https://ru.wikipedia.org/wiki/Saga_of_Tanya_the_Evil:_The_Movie
Царство,"Боевик,, ,военный,, ,история,, ,драма",2019,Япония,Синсуке Сато,6.7,"https://ru.wikipedia.org/wiki/%D0%A6%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%BE_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2019)"
Правда,драма,2019,Франция,Хирокадзу Корээда,6.5,"https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B0%D0%B2%D0%B4%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2019)"
Мисс Джерри,драма,1894,США,Александр Блэк,5.3,https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D1%81%D1%81_%D0%94%D0%B6%D0%B5%D1%80%D0%B8
Мудрые парни,"биографический фильм,гангстерский фильм",2024,США,Барри Левинсон,,https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D0%B4%D1%80%D1%8B%D0%B5_%D0%BF%D0%B0%D1%80%D0%BD%D0%B8
Карменсита,Документальное кино,1894,,Уильям Диксон,5.7,https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%BC%D0%B5%D0%BD%D1%81%D0%B8%D1%82%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
В плену у сакуры,романтический фильм,2019,Япония,Масаки Иноуэ,6.5,https://ru.wikipedia.org/wiki/%D0%92_%D0%BF%D0%BB%D0%B5%D0%BD%D1%83_%D1%83_%D1%81%D0%B0%D0%BA%D1%83%D1%80%D1%8B
Rascal Does Not Dream of a Dreaming Girl,"романтическая драма,научная фантастика,[1]",2019,Япония,Соити Масуи,8.2,https://ru.wikipedia.org/wiki/Rascal_Does_Not_Dream_of_a_Dreaming_Girl
Покемон. Детектив Пикачу,"фантастика,фэнтези,комедия,  ,семейный,боевик",2019,США,Роб Леттерман,6.5,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%B5%D0%BC%D0%BE%D0%BD._%D0%94%D0%B5%D1%82%D0%B5%D0%BA%D1%82%D0%B8%D0%B2_%D0%9F%D0%B8%D0%BA%D0%B0%D1%87%D1%83
Isshuukan Friends,,2012,,,,https://ru.wikipedia.org/wiki/One_Week_Friends
Тетрадь смерти: Свет нового мира,,2016,,,,https://ru.wikipedia.org/wiki/%D0%A2%D0%B5%D1%82%D1%80%D0%B0%D0%B4%D1%8C_%D1%81%D0%BC%D0%B5%D1%80%D1%82%D0%B8:_%D0%A1%D0%B2%D0%B5%D1%82_%D0%BD%D0%BE%D0%B2%D0%BE%D0%B3%D0%BE_%D0%BC%D0%B8%D1%80%D0%B0
Shisha no Teikoku,,2015,,,,https://ru.wikipedia.org/wiki/Shisha_no_Teikoku
«Гамба в 3D»,,2015,,,,https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D0%BC%D0%B1%D0%B0_%D0%B2_3D
Звонок. Последняя глава,"фильм ужасов о сверхъестественном,экранизация романа,[d],фильм о привидениях,[d]",2019,,Хидэо Наката,4.3,https://ru.wikipedia.org/wiki/%D0%97%D0%B2%D0%BE%D0%BD%D0%BE%D0%BA._%D0%9F%D0%BE%D1%81%D0%BB%D0%B5%D0%B4%D0%BD%D1%8F%D1%8F_%D0%B3%D0%BB%D0%B0%D0%B2%D0%B0
Шея,"исторический фильм,боевик,драматический фильм",2023,Япония,Такэси Китано,6.9,https://ru.wikipedia.org/wiki/%D0%A8%D0%B5%D1%8F_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Психопаспорт 3: Первый инспектор,"аниме,, ,детектив,, ,антиутопия,, ,киберпанк,, ,триллер",2020,,Наоёси Сиотани,7.4,https://ru.wikipedia.org/wiki/Psycho-Pass_3:_First_Inspector
Охотник на монстров,"фэнтези,боевик,триллер",2020,США,Пол Андерсон,5.2,https://ru.wikipedia.org/wiki/%D0%9E%D1%85%D0%BE%D1%82%D0%BD%D0%B8%D0%BA_%D0%BD%D0%B0_%D0%BC%D0%BE%D0%BD%D1%81%D1%82%D1%80%D0%BE%D0%B2
