name,genres,year,country,producer,imdb_rating,link
Немой крик,,1979,США,Денни Харрис,5.8,"https://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D0%BC%D0%BE%D0%B9_%D0%BA%D1%80%D0%B8%D0%BA_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1979)"
Не заходи в дом,"слэшер, / ,триллер",2019,США,Джозеф Эллисон,5.6,https://ru.wikipedia.org/wiki/%D0%9D%D0%B5_%D0%B7%D0%B0%D1%85%D0%BE%D0%B4%D0%B8_%D0%B2_%D0%B4%D0%BE%D0%BC
Не приближайся к парку,фильм ужасов,1979,США,Лоренс Дэвид Фолдс,3.5,https://ru.wikipedia.org/wiki/%D0%9D%D0%B5_%D0%BF%D1%80%D0%B8%D0%B1%D0%BB%D0%B8%D0%B6%D0%B0%D0%B9%D1%81%D1%8F_%D0%BA_%D0%BF%D0%B0%D1%80%D0%BA%D1%83
Легенда гор,"фэнтези,фильм ужасов",1979,Гонконг,Кинг Ху,7.5,https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D0%B3%D0%B5%D0%BD%D0%B4%D0%B0_%D0%B3%D0%BE%D1%80
Инферно,Фильм ужасов,1980,Италия,Дарио Ардженто,6.5,"https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%84%D0%B5%D1%80%D0%BD%D0%BE_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1980)"
Кровь в Венеции,джалло,1979,,Марио Ланди,5.2,https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%BE%D0%B2%D1%8C_%D0%B2_%D0%92%D0%B5%D0%BD%D0%B5%D1%86%D0%B8%D0%B8
Жажда,"триллер,фильм ужасов,фантастика",1979,Австралия,Род Харди,5.8,"https://ru.wikipedia.org/wiki/%D0%96%D0%B0%D0%B6%D0%B4%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1979)"
Доминик,"фильм ужасов,триллер",1979,Великобритания,Майкл Андерсон,5.4,https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%BC%D0%B8%D0%BD%D0%B8%D0%BA_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Зомби 2,"фильм ужасов,приключения",1979,Италия,Лучо Фульчи,6.8,"https://ru.wikipedia.org/wiki/%D0%97%D0%BE%D0%BC%D0%B1%D0%B8_2_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1979)"
Эротические ночи живых мертвецов,"эротический фильм ужасов,, ,пародия",1980,Италия,Джо д’Амато,4.2,https://ru.wikipedia.org/wiki/%D0%AD%D1%80%D0%BE%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5_%D0%BD%D0%BE%D1%87%D0%B8_%D0%B6%D0%B8%D0%B2%D1%8B%D1%85_%D0%BC%D0%B5%D1%80%D1%82%D0%B2%D0%B5%D1%86%D0%BE%D0%B2
Kurt’s Bloody Suicide,"хоррор,психоделика",1982,США,Курт Кобейн,,https://ru.wikipedia.org/wiki/Kurt%E2%80%99s_Bloody_Suicide
Туман,фильм ужасов,1980,США,Джон Карпентер,6.8,"https://ru.wikipedia.org/wiki/%D0%A2%D1%83%D0%BC%D0%B0%D0%BD_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1980)"
Выводок,"фантастика,Боди Хоррор",1979,Канада,Дэвид Кроненберг,6.8,https://ru.wikipedia.org/wiki/%D0%92%D1%8B%D0%B2%D0%BE%D0%B4%D0%BE%D0%BA_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Шизоид,"триллер,фильм ужасов",1980,США,Дэвид Полсен,5.0,https://ru.wikipedia.org/wiki/%D0%A8%D0%B8%D0%B7%D0%BE%D0%B8%D0%B4_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Фобия,"триллер,фильм ужасов,драма,экранизация",1980,США,Джон Хьюстон,4.2,"https://ru.wikipedia.org/wiki/%D0%A4%D0%BE%D0%B1%D0%B8%D1%8F_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1980)"
